Tipo de Venta,Centro de Operaciones,Nro Documento,Fecha,Total
ALTO COSTO RS,102,FAA-00024005,1/04/2019,19840
ALTO COSTO RS,102,FAA-00024006,1/04/2019,19800
ALTO COSTO RS,102,FAA-00024008,1/04/2019,12920
ALTO COSTO RS,102,FAA-00024009,1/04/2019,884640
ALTO COSTO RS,102,FAA-00024016,1/04/2019,696066
ALTO COSTO RS,102,FAA-00024018,1/04/2019,11081030
ALTO COSTO RS,102,FAA-00024019,1/04/2019,1801039
ALTO COSTO RS,102,FAA-00024020,1/04/2019,426572
ALTO COSTO RS,102,FAA-00024021,1/04/2019,3451011
ALTO COSTO RS,102,FAA-00024023,1/04/2019,1800334
ALTO COSTO RS,102,FAA-00024024,1/04/2019,442061
ALTO COSTO RS,102,FAA-00024025,1/04/2019,22162060
ALTO COSTO RS,102,FAA-00024026,1/04/2019,13546
ALTO COSTO RS,102,FAA-00024028,1/04/2019,1798864
ALTO COSTO RS,102,FAA-00024029,1/04/2019,1542818
ALTO COSTO RS,102,FAA-00024030,1/04/2019,444557
ALTO COSTO RS,102,FAA-00024031,1/04/2019,22162060
ALTO COSTO RS,102,FAA-00024033,1/04/2019,458904
ALTO COSTO RS,102,FAA-00024034,1/04/2019,458904
ALTO COSTO RS,102,FAA-00024038,1/04/2019,19800
ALTO COSTO RS,102,FAA-00024039,1/04/2019,1384163
ALTO COSTO RS,102,FAA-00024040,2/04/2019,19800
ALTO COSTO RS,102,FAA-00024041,2/04/2019,19800
ALTO COSTO RS,102,FAA-00024044,2/04/2019,461412
ALTO COSTO RS,102,FAA-00024046,2/04/2019,2955360
ALTO COSTO RS,102,FAA-00024048,2/04/2019,9730
ALTO COSTO RS,102,FAA-00024049,2/04/2019,13200
ALTO COSTO RS,102,FAA-00024051,2/04/2019,1801039
ALTO COSTO RS,102,FAA-00024053,2/04/2019,118202
ALTO COSTO RS,102,FAA-00024054,2/04/2019,195284
ALTO COSTO RS,102,FAA-00024056,2/04/2019,1548069
ALTO COSTO RS,102,FAA-00024057,2/04/2019,2959358
ALTO COSTO RS,102,FAA-00024058,2/04/2019,1732637
ALTO COSTO RS,102,FAA-00024059,2/04/2019,534682
ALTO COSTO RS,102,FAA-00024060,2/04/2019,1801039
ALTO COSTO RS,102,FAA-00024061,2/04/2019,11431
ALTO COSTO RS,102,FAA-00024062,2/04/2019,458904
ALTO COSTO RS,102,FAA-00024063,2/04/2019,1723572
ALTO COSTO RS,102,FAA-00024064,2/04/2019,909180
ALTO COSTO RS,102,FAA-00024065,3/04/2019,1773237
ALTO COSTO RS,102,FAA-00024066,3/04/2019,1004580
ALTO COSTO RS,102,FAA-00024070,3/04/2019,5289480
ALTO COSTO RS,102,FAA-00024079,3/04/2019,9690
ALTO COSTO RS,102,FAA-00024081,3/04/2019,1849595
ALTO COSTO RS,102,FAA-00024082,3/04/2019,1538814
ALTO COSTO RS,102,FAA-00024083,3/04/2019,1538814
ALTO COSTO RS,102,FAA-00024084,3/04/2019,5033916
ALTO COSTO RS,102,FAA-00024086,3/04/2019,1797035
ALTO COSTO RS,102,FAA-00024087,3/04/2019,1728823
ALTO COSTO RS,102,FAA-00024088,3/04/2019,1772366
ALTO COSTO RS,102,FAA-00024090,3/04/2019,74260
ALTO COSTO RS,102,FAA-00024091,3/04/2019,163906
ALTO COSTO RS,102,FAA-00024092,3/04/2019,263010
ALTO COSTO RS,102,FAA-00024093,3/04/2019,1668235
ALTO COSTO RS,102,FAA-00024094,3/04/2019,14130
ALTO COSTO RS,102,FAA-00024096,3/04/2019,1635862
ALTO COSTO RS,102,FAA-00024098,3/04/2019,25725
ALTO COSTO RS,102,FAA-00024103,4/04/2019,494370
ALTO COSTO RS,102,FAA-00024104,4/04/2019,461412
ALTO COSTO RS,102,FAA-00024105,4/04/2019,176928
ALTO COSTO RS,102,FAA-00024112,4/04/2019,2104
ALTO COSTO RS,102,FAA-00024113,4/04/2019,1582402
ALTO COSTO RS,102,FAA-00024114,4/04/2019,1535787
ALTO COSTO RS,102,FAA-00024115,4/04/2019,4918989
ALTO COSTO RS,102,FAA-00024116,4/04/2019,9317198
ALTO COSTO RS,102,FAA-00024117,4/04/2019,431622
ALTO COSTO RS,102,FAA-00024118,4/04/2019,1898574
ALTO COSTO RS,102,FAA-00024119,4/04/2019,909180
ALTO COSTO RS,102,FAA-00024120,4/04/2019,11371
ALTO COSTO RS,102,FAA-00024122,4/04/2019,1136447
ALTO COSTO RS,102,FAA-00024123,4/04/2019,1384163
ALTO COSTO RS,102,FAA-00024124,4/04/2019,1809803
ALTO COSTO RS,102,FAA-00024128,5/04/2019,568438
ALTO COSTO RS,102,FAA-00024130,5/04/2019,63730
ALTO COSTO RS,102,FAA-00024133,5/04/2019,1708740
ALTO COSTO RS,102,FAA-00024134,5/04/2019,458904
ALTO COSTO RS,102,FAA-00024136,5/04/2019,540350
ALTO COSTO RS,102,FAA-00024143,5/04/2019,19800
ALTO COSTO RS,102,FAA-00024165,8/04/2019,19800
ALTO COSTO RS,102,FAA-00024166,8/04/2019,659160
ALTO COSTO RS,102,FAA-00024169,8/04/2019,1846181
ALTO COSTO RS,102,FAA-00024170,8/04/2019,221028
ALTO COSTO RS,102,FAA-00024171,8/04/2019,5434361
ALTO COSTO RS,102,FAA-00024172,8/04/2019,1398000
ALTO COSTO RS,102,FAA-00024173,8/04/2019,3180864
ALTO COSTO RS,102,FAA-00024174,8/04/2019,1798704
ALTO COSTO RS,102,FAA-00024175,8/04/2019,1640353
ALTO COSTO RS,102,FAA-00024176,8/04/2019,13200
ALTO COSTO RS,102,FAA-00024178,8/04/2019,24619
ALTO COSTO RS,102,FAA-00024179,8/04/2019,1640353
